ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
529	61	1175	8	694	1046	656	57	568	1034	311	3504	1484	162	1927	4011	1276	221	1371	389	124	1698	113	84	35	116	6816	361	26	22	2122	1420	674	1379	181	51	2483	188	109	660	122	421	496	408	1243	560	161	527	144	259	74	1
515	221	1169	43	832	978	1356	126	705	1053	215	5111	1444	105	3061	3567	2432	236	1800	198	324	5060	55	123	127	325	6106	343	76	40	3406	3307	399	2626	539	335	2965	25	294	958	363	600	61	940	2129	791	342	598	306	585	106	1
287	51	473	33	262	346	300	34	314	549	110	1567	779	27	853	919	833	61	617	98	120	864	29	44	46	62	2144	144	57	42	1026	761	79	662	317	104	708	48	309	437	153	278	278	332	1203	408	159	323	75	72	42	1
459	104	1149	25	312	590	821	83	576	806	136	4014	1453	257	2231	2936	1678	258	2269	264	117	2064	84	33	75	86	4197	433	16	51	1981	1733	106	1186	88	210	1879	146	318	491	278	395	160	430	1610	315	153	328	130	80	77	1
511	101	603	68	303	301	357	1	89	3987	507	701	939	24	290	252	248	49	608	796	286	3314	151	46	223	217	2106	152	50	62	179	318	3887	297	3193	175	2100	31	182	1162	427	587	225	755	1109	803	477	168	181	3206	32	1
312	100	728	43	339	510	518	34	424	502	126	2476	768	67	1447	1134	1161	133	789	132	132	1320	39	29	44	62	2652	176	20	69	1427	1592	82	898	259	135	1024	67	433	327	230	289	169	371	917	306	121	403	120	87	69	1
259	51	638	13	388	485	351	23	378	515	162	1534	634	20	961	1336	698	52	287	139	199	2079	50	73	61	122	4105	161	24	55	1031	944	124	708	155	173	1329	95	128	437	117	296	283	358	956	450	196	380	46	95	49	1
433	74	864	50	474	501	528	32	580	845	208	1980	931	53	1236	915	1265	111	545	223	119	1028	54	90	62	78	3554	248	34	27	1144	1363	510	569	1704	158	661	55	863	186	279	214	101	512	647	244	141	289	54	138	29	1
568	90	1153	80	691	663	877	58	712	1163	223	4009	1625	120	2201	2364	1726	117	1146	239	424	3310	105	92	103	129	3472	287	42	79	3184	2480	51	1328	65	410	1567	123	886	673	236	595	220	658	2266	719	181	544	97	195	85	1
134	80	139	68	186	235	141	1	28	2087	81	357	339	0	249	105	295	9	144	116	353	2218	76	29	223	195	924	21	94	113	113	328	2045	210	1475	336	1646	40	266	1016	416	730	271	665	2091	836	294	232	59	2702	1	1
396	194	1149	75	376	564	552	29	269	2021	178	1246	972	104	465	696	495	74	974	333	180	1238	116	22	178	87	1350	96	34	24	296	682	3527	487	6030	119	733	21	230	660	321	498	67	382	1268	423	119	183	35	2558	12	1
222	54	373	19	290	302	269	24	227	525	120	1065	456	20	665	920	465	36	604	101	97	1388	45	49	40	176	1997	89	26	32	865	782	202	596	102	69	898	46	187	388	173	257	195	221	809	366	131	355	128	122	17	1
308	24	1009	19	246	687	549	47	414	946	266	1874	793	50	853	1439	605	75	1272	352	81	1327	89	91	26	107	3720	179	2	18	680	810	496	836	168	67	502	34	101	346	216	270	109	162	323	151	45	212	147	188	41	1
463	82	1226	74	751	679	763	101	677	1070	271	3548	1457	65	1876	1608	2187	196	1235	207	183	3551	113	81	48	196	4267	343	96	62	2747	2631	57	1026	348	230	2245	101	3547	516	604	558	225	967	1981	557	339	550	89	138	67	1
540	74	1127	25	419	968	577	73	592	1139	223	3456	1394	152	2247	4558	1583	139	1737	282	100	1420	54	82	48	119	4246	237	11	13	2574	1815	62	1362	609	97	964	79	138	278	265	172	103	293	616	204	151	343	187	63	51	1
